Altium Designer Pick and Place Locations
C:\Repos\SamplingScope\Project Outputs for Sampling_Scope\Pick Place\Pick Place for Sampling_Scope(JLCPCB).txt

========================================================================================================================
File Design Information:

Date:       24/03/21
Time:       22:10
Revision:   dcc4422842999c2a32b4cc46d91e13b29c4c7420
Variant:    JLCPCB
Units used: mm

Designator                           Center-X(mm) Center-Y(mm) Layer    Rotation 
R66                                  90.3000mm    65.5000mm    TopLayer 360      
C12_COMP_P                           90.9000mm    14.4000mm    TopLayer 270      
R7_COMP_P                            91.4300mm    19.2975mm    TopLayer 90       
R6_COMP_P                            92.1800mm    15.0475mm    TopLayer 270      
R5_COMP_P                            92.1800mm    17.0475mm    TopLayer 90       
R8_COMP_P                            92.4300mm    19.2975mm    TopLayer 90       
C8_COMP_P                            93.1000mm    13.0000mm    TopLayer 360      
R10_COMP_P                           93.1800mm    15.0475mm    TopLayer 90       
R9_COMP_P                            93.1800mm    17.0475mm    TopLayer 270      
C5_COMP_P                            93.4300mm    19.2975mm    TopLayer 270      
C4                                   93.7000mm    89.6000mm    TopLayer 90       
